mm_gene	hg_gene	MEL	CH12	K562	GM12878	q_M	q_C	q_K	q_G
Hspa9	HSPA9	952.648415666621	777.720270524698	1169.23978086733	587.748268510657	5	5	5	5
Hspb1	HSPB1	3.52265418032786	85.6511647172092	26.5020451008594	20.2197099485417	3	5	4	4
Hspb11	HSPB11	114.445484041444	96.951991796222	123.500361429651	76.3441791231574	5	5	5	5
NULL	HSPB2	0	0	0.151234831385413	0	0	0	2	0
NULL	HSPB2-C11orf52	0	0	0.341393080280288	0	0	0	2	0
Hspb3	HSPB3	0	0.71572806158387	1.65055531479724	0.104842913740505	0	2	3	1
Hspb6	HSPB6	1.57085728600684	1.02145594121451	1.09998081737994	1.3177871342197	3	3	3	3
Hspb7	HSPB7	0.0651542769961246	0.142827200222825	0.138272521775593	0.0768718803456197	1	2	1	1
Hspb8	HSPB8	0	0	0.0380163467531754	0	0	0	1	0
Hspb9	HSPB9	1.54991217418945	0.870890775509939	1.22514272206069	2.21182860736627	3	3	3	3
Hspbap1	HSPBAP1	3.92194090261653	5.28555965616416	17.1277395079327	18.2343251009262	3	3	4	4
Hspbp1	HSPBP1	69.9209587421716	80.9959309469015	104.782321517889	49.1597405246607	5	5	5	5
NULL	HSPC047	0	0	0	0	0	0	0	0
Hspd1	HSPD1	1161.92056745898	901.48913245411	1328.06601086221	1000.28137963879	5	5	5	5
NULL	HSPE1	0	0	0.808430224428433	0.613384320544951	0	0	3	3
NULL	HSPE1-MOB4	0	0	0	0	0	0	0	0
Hspg2	HSPG2	0.464388302423345	34.8599590676204	48.836000984534	7.08719223411519	2	4	5	3
Hsph1	HSPH1	280.211604179772	141.828043855197	238.475913452528	165.510526969418	5	5	5	5
Htatip2	HTATIP2	243.23260484561	1.83898252964998	23.7135837409337	9.09002107269925	5	3	4	4
Htatsf1	HTATSF1	428.3096351314	382.681472530042	195.280290493642	117.161472407012	5	5	5	5
NULL	HTATSF1P2	0	0	0.624080444475446	0.037087159326984	0	0	2	1
NULL	HTJA150	0	0	0	0	0	0	0	0
NULL	HTJA84	0	0	0	0	0	0	0	0
NULL	HTN1	0	0	0	0	0	0	0	0
NULL	HTN3	0	0	0	0	0	0	0	0
Htr1a	HTR1A	0	0	0.0334981416214052	0	0	0	1	0
Htr1b	HTR1B	0	0	0	0	0	0	0	0
Htr1d	HTR1D	0.102332804939582	0	0.0372313027445461	0.0725580155684942	2	0	1	1
NULL	HTR1E	0	0	0	0	0	0	0	0
Htr1f	HTR1F	0	0	0.29165442415714	0.0145215718266023	0	0	2	1
Htr2a	HTR2A	0.449424864100406	0.0227701607498345	0	0.115168973862347	2	1	0	1
Htr2b	HTR2B	0.372489331226519	0.395635284554521	0.264281095306835	0.594026248910536	2	2	2	2
Htr2c	HTR2C	0	0	0.0682438844059643	0.00830903750337015	0	0	1	1
Htr3a	HTR3A	0	0	0	0	0	0	0	0
Htr3b	HTR3B	0.0323977587027825	0.0359377066273153	0	0.0925631072581194	1	1	0	1
NULL	HTR3C	0	0	0	0	0	0	0	0
NULL	HTR3D	0	0	0	0	0	0	0	0
NULL	HTR3E	0	0	0	0	0	0	0	0
Htr4	HTR4	0.00823776855429709	0.0122852738914144	0	0	1	1	0	0
Htr5a	HTR5A	0.00540368067946641	0.0106149411532762	0	0	1	1	0	0
Htr6	HTR6	0	0	0	0.391183376307928	0	0	0	2
Htr7	HTR7	0	0	0.114485432485532	0	0	0	1	0
NULL	HTR7P1	0	0	0.0354085544307939	0.0196201082501184	0	0	1	1
Htra1	HTRA1	0	0.114957810614116	0.0923594229227258	0.0509256197923713	0	1	1	1
Htra2	HTRA2	54.0667173185044	73.5386533630267	47.3383605535407	44.2720678596204	5	5	4	4
Htra3	HTRA3	0	0.129130059087429	0.0943861900736647	0.0926101856243158	0	1	1	1
Htra4	HTRA4	0.069514722433489	0.137252590381747	0	0.260184773762389	1	2	0	2
Htt	HTT	48.6358388924702	26.7649379734506	21.9734949359299	71.3769600842118	4	4	4	5
NULL	HTT-AS1	0	0	0	0.146548122926915	0	0	0	2
NULL	HULC	0	0	0.42338978691431	0	0	0	2	0
Hunk	HUNK	0	0.0371498900191334	0	0.0603657215450678	0	1	0	1
Hus1	HUS1	14.2915136202666	13.1677553572156	23.1369467863061	29.6820937726521	4	4	4	4
Hus1b	HUS1B	0.37016073839961	8.62089047201913	1.48116299018816	1.57773213668165	2	3	3	3
Huwe1	HUWE1	1811.62243190982	1145.64517278601	204.009770245518	272.693758229989	5	5	5	5
NULL	HV303147	0	0	0	0	0	0	0	0
NULL	HV303168	0	0	0	0	0	0	0	0
NULL	HV303425	0	0	0	0	0	0	0	0
NULL	HV303525	0	0	0	0	0	0	0	0
NULL	HV303528	0	0	0	0	0	0	0	0
NULL	HV452684	0	0	0	0	0	0	0	0
NULL	HV530979	0	0	0	0	0	0	0	0
NULL	HV531005	0	0	0	0	0	0	0	0
NULL	HV531009	0	0	0	0	0	0	0	0
NULL	HV531011	0	0	0	0	0	0	0	0
NULL	HV531014	0	0	0	0	0	0	0	0
NULL	HV531015	0	0	0	0	0	0	0	0
NULL	HV531016	0	0	0	0	0	0	0	0
NULL	HV531022	0	0	0	0	0	0	0	0
NULL	HV531029	0	0	0	0	0	0	0	0
NULL	HV533924	0	0	4.3243750424727	0	0	0	3	0
NULL	HV535469	0	0	0.0201584642772987	0.0310626786751638	0	0	1	1
NULL	HV535487	0	0	0.0176793658893043	0.0637706803380105	0	0	1	1
NULL	HV555657	0	0	0	0	0	0	0	0
NULL	HV555659	0	0	0	0	0	0	0	0
NULL	HV592900	0	0	0	0	0	0	0	0
NULL	HV592909	0	0	0	0	0	0	0	0
NULL	HV592934	0	0	0	0	0	0	0	0
NULL	HV592953	0	0	0	0	0	0	0	0
NULL	HV592964	0	0	0	0	0	0	0	0
NULL	HV592965	0	0	0	0	0	0	0	0
NULL	HV592982	0	0	0	0	0	0	0	0
NULL	HV593096	0	0	0	0	0	0	0	0
NULL	HV593110	0	0	0	0	0	0	0	0
NULL	HV593127	0	0	0	0	0	0	0	0
NULL	HV593134	0	0	0	0	0	0	0	0
NULL	HV593135	0	0	0	0	0	0	0	0
NULL	HV593178	0	0	0	0	0	0	0	0
NULL	HV593183	0	0	0	0	0	0	0	0
NULL	HV689151	0	0	0	0	0	0	0	0
NULL	HV745896	0	0	0	0	0	0	0	0
NULL	HV745899	0	0	0	0	0	0	0	0
NULL	HV745902	0	0	0	0	0	0	0	0
NULL	HV745905	0	0	0	0	0	0	0	0
NULL	HV781757	0	0	0	0	0	0	0	0
NULL	HV941428	0	0	0	0	0	0	0	0
NULL	HV941429	0	0	0	0	0	0	0	0
NULL	HV941430	0	0	0	0	0	0	0	0
NULL	HV941431	0	0	0	0	0	0	0	0
NULL	HV941433	0	0	0	0	0	0	0	0
NULL	HV941434	0	0	0	0	0	0	0	0
NULL	HV941440	0	0	0	0	0	0	0	0
NULL	HV941442	0	0	0	0	0	0	0	0
NULL	HV941444	0	0	0	0	0	0	0	0
NULL	HV941478	0	0	0	0	0	0	0	0
NULL	HV941486	0	0	0	0	0	0	0	0
NULL	HV970138	0	0	0	0	0	0	0	0
NULL	HV975509	0	0	0	0	0	0	0	0
NULL	HV983065	0	0	0	0	0	0	0	0
NULL	HV983084	0	0	0	0	0	0	0	0
Hvcn1	HVCN1	8.90479012348151	73.2870488315503	19.0502647228532	236.584142095938	3	5	4	5
Hyal1	HYAL1	2.59304127233116	0.706361622521176	6.08111522886799	1.28752178267754	3	2	3	3
Hyal2	HYAL2	27.8881407954107	33.5876414576013	25.1266818192111	24.6428552373606	4	4	4	4
Hyal3	HYAL3	11.345996123064	1.06008070589754	6.10648832360136	2.15716719450827	4	3	3	3
Hyal4	HYAL4	0.0359698117705189	0	0	0.0756521326477473	1	0	0	1
NULL	HYALP1	0	0	0	0	0	0	0	0
NULL	HYDIN	0	0	0.111068539330007	0.0581913003512682	0	0	1	1
NULL	HYDIN2	0	0	0.0045729583834888	0.00192402686014736	0	0	1	1
Hyi	HYI	1.47147939590143	1.24215415597229	0	0	3	3	0	0
Hyls1	HYLS1	17.4483151120572	22.9628158000379	12.9244372116056	23.4423121864668	4	4	4	4
NULL	HYMAI	0	0	0.0513648120637926	0.0157557422145612	0	0	1	1
Hyou1	HYOU1	765.369213438282	523.896891834965	456.613457563521	236.232516654914	5	5	5	5
NULL	HYPK	0	0	0.0934577446250875	0.247379344583043	0	0	1	2
NULL	Hel-N1	0	0	0	0	0	0	0	0
NULL	Hfb1	0	0	0	0	0	0	0	0
NULL	Histone3	0	0	13.3486148335519	4.78912313231188	0	0	4	3
Iah1	IAH1	8.48146213344574	23.8004354831999	6.3575486417928	234.514261376122	3	4	3	5
Iapp	IAPP	0	0	0	0	0	0	0	0
Iars	IARS	319.357013908083	263.025458268949	452.596038642568	252.797150828406	5	5	5	5
Iars2	IARS2	736.446641458709	662.330095825962	160.023895623934	111.875220389486	5	5	5	5
NULL	IBA57	0	0	0.0999258507962352	0.125736626219297	0	0	1	1
Ibsp	IBSP	0	0	0.03656648897531	0	0	0	1	0
Ibtk	IBTK	19.25308209793	23.6867719340973	20.7973163546147	24.6131850226468	4	4	4	4
Ica1	ICA1	2.06041101840702	3.18909949362173	5.95485346828177	0.640569689237516	3	3	3	3
Ica1l	ICA1L	12.3560734826257	9.89714526779244	6.78803663514941	4.42792101392189	4	4	3	3
Icam1	ICAM1	67.6091160695269	148.5015177283	66.1896346139367	112.26081541231	5	5	5	5
Icam2	ICAM2	47.3885924014288	28.7611276603487	37.87146371203	39.1377824380731	4	4	4	4
NULL	ICAM3	0	0	0.453746844289357	2.90176472112217	0	0	2	3
Icam4	ICAM4	248.05052129399	5.72902773387318	92.5796038533171	7.62251151035758	5	3	5	4
Icam5	ICAM5	38.1778290177367	12.8310562275109	50.0305412585009	12.1153352609996	4	4	5	4
Ick	ICK	4.89419389110886	2.21380453092614	3.64115466009874	4.34317974825462	3	3	3	3
Icmt	ICMT	50.6641498431146	32.2400600823916	58.0446135447636	35.0320025767042	4	4	5	4
Icos	ICOS	0	0.034550200923134	0	0	0	1	0	0
Icosl	ICOSLG	0	14.6253772024377	0.771164884595947	4.30468360656638	0	4	3	3
Ict1	ICT1	232.357296134079	319.220345723224	375.151517978592	217.033849533082	5	5	5	5
Id1	ID1	368.446586459656	0.647043749785745	92.1254151493528	2.61104139517071	5	2	5	3
Id2	ID2	16.7336921058845	25.1789546847855	21.1161241366408	21.2415334703369	4	4	4	4
Id3	ID3	6.88622874902235	137.988066051787	18.1207340485664	34.5628488886745	3	5	4	4
Id4	ID4	0	0	0	0	0	0	0	0
Ide	IDE	54.3619432002605	61.2309446873059	84.1691892747923	61.4758532342935	5	5	5	5
Idh1	IDH1	87.1655438389787	30.0645217880083	112.066539714956	27.2522208055249	5	4	5	4
NULL	IDH1-AS1	0	0	0.542220175635481	0.485626834766793	0	0	2	2
Idh2	IDH2	627.936601175815	127.29887365767	119.203434370823	235.502061828338	5	5	5	5
Idh3a	IDH3A	151.380938735264	132.352550520815	135.070617848369	148.842153528465	5	5	5	5
Idh3b	IDH3B	350.247177318959	234.869049913348	337.44236785186	294.721188087651	5	5	5	5
Idh3g	IDH3G	322.313390675581	256.451697671144	240.109186394379	334.710854460413	5	5	5	5
Idi1	IDI1	48.2965399355986	129.754378074909	85.3381834365859	93.8557160031588	4	5	5	5
NULL	IDI2	0	0	0.596147586583591	0.530325418748245	0	0	2	2
NULL	IDI2-AS1	0	0	0.330288227920746	0.72765966549758	0	0	2	3
NULL	IDNK	0	0	0.165264935267312	0.727156894251351	0	0	2	3
Ido1	IDO1	0	0	0.0619047082227583	0.0432189970760817	0	0	1	1
Ido2	IDO2	0.0149822017993426	0.0298454409419329	0	0	1	1	0	0
Ids	IDS	23.4200583405836	30.4645497667415	14.3534272653933	36.8183667394428	4	4	4	4
NULL	IDS2	0	0	0.335935562425803	0.40369599040194	0	0	2	2
Idua	IDUA	13.6906333169362	15.447109803634	27.2317585163708	24.9015101109302	4	4	4	4
Ier2	IER2	103.055414404447	94.6884045787253	96.3649545168066	65.1762042654855	5	5	5	5
Ier3	IER3	43.3623991416395	54.4812340037558	59.2940969763941	36.6203286260563	4	5	5	4
Ier3ip1	IER3IP1	93.0179232475729	86.283077462557	85.9615653538635	98.2490958518349	5	5	5	5
Ier5	IER5	21.7427936995406	106.412305047958	59.9261156527657	99.5620407479025	4	5	5	5
Ier5l	IER5L	0	18.8113679034242	2.03802882100929	0.464432506749237	0	4	3	2
Iffo1	IFFO1	15.7798703629709	3.12203285359529	0.891070740806267	57.7846707172077	4	3	3	5
NULL	IFFO2	0	0	0.0710308167138929	0.386615167044728	0	0	1	2
NULL	IFI16	0	0	0.490350352136714	4.75053233031768	0	0	2	3
Ifi27l2a	IFI27	1.20903674231962	14.0157585151038	55.9634576622182	18.6014155191647	3	4	5	4
NULL	IFI27L1	0	0	1.17771876849885	0.984356342986975	0	0	3	3
NULL	IFI27L2	0	0	0.437162090614371	3.22911604045081	0	0	2	3
Ifi30	IFI30	0.511914989706936	5.08429049898314	0	0	2	3	0	0
Ifi35	IFI35	20.0252616820854	35.9400246964859	20.7067720568925	53.2510491561506	4	4	4	5
Ifi44	IFI44	0.560875453035746	0.530113301273201	0.119475017854989	9.83959615963641	2	2	1	4
H28	IFI44L	0	0	0.0149358850268131	1.50528932436895	0	0	1	3
Ifi27l2b	IFI6	1.54858872625389	1.89653750995482	1.02751572608435	6.57026659151814	3	3	3	3
Ifih1	IFIH1	35.4037913350414	3.79533484634882	6.33433585220546	65.1718014660158	4	3	3	5
NULL	IFIT1	0	0	0.0184249129568763	0.576009299075853	0	0	1	2
NULL	IFIT1B	0	0	0	0.0638328094619971	0	0	0	1
Ifit2	IFIT2	2.9645955155625	4.20368969860699	1.03593995097809	19.548585465101	3	3	3	4
NULL	IFIT3	0	0	0.236841363405657	2.34068974321166	0	0	2	3
NULL	IFIT5	0	0	0.0383336176181824	1.2330310680455	0	0	1	3
NULL	IFITM1	0	0	7.04332767863076	6.96964251117	0	0	4	3
NULL	IFITM10	0	0	0.0368245163523784	0.0868104701047317	0	0	1	1
NULL	IFITM2	0	0	4.09455274363907	3.81502852653989	0	0	3	3
NULL	IFITM3	0	0	6.35433792988185	0.391917562002651	0	0	3	2
NULL	IFITM4P	0	0	0.599563744647559	0.935477067181899	0	0	2	3
Ifitm5	IFITM5	0.577473499279386	0.33474158640978	0	0.992979713704676	2	2	0	3
Ifltd1	IFLTD1	0.0110439364482123	0.220160268909095	0.232247805551127	0	1	2	2	0
NULL	IFNA1	0	0	0	0	0	0	0	0
NULL	IFNA10	0	0	0	0	0	0	0	0
NULL	IFNA13	0	0	0	0	0	0	0	0
NULL	IFNA14	0	0	0	0.073521883851141	0	0	0	1
NULL	IFNA16	0	0	0	0	0	0	0	0
NULL	IFNA17	0	0	0	0	0	0	0	0
NULL	IFNA2	0	0	0	0.163406647722663	0	0	0	2
NULL	IFNA21	0	0	0	0	0	0	0	0
NULL	IFNA22P	0	0	0	0	0	0	0	0
NULL	IFNA4	0	0	0	0	0	0	0	0
NULL	IFNA5	0	0	0	0	0	0	0	0
NULL	IFNA6	0	0	0	0	0	0	0	0
NULL	IFNA7	0	0	0	0	0	0	0	0
NULL	IFNA8	0	0	0	0	0	0	0	0
Ifnar1	IFNAR1	14.609933470088	25.8205482737144	23.8252676241827	26.555312426127	4	4	4	4
Ifnar2	IFNAR2	91.9647649200533	92.5995828495715	54.4840287738805	135.710057855832	5	5	5	5
Ifnb1	IFNB1	0.0586742327582821	0	0	0	1	0	0	0
Ifne	IFNE	0	0.131765281221471	0	0	0	1	0	0
Ifng	IFNG	0	0	0	0.126485585053622	0	0	0	1
Ifngr1	IFNGR1	74.1525785854955	93.2472366688527	50.452539560169	168.283545365505	5	5	5	5
Ifngr2	IFNGR2	31.8091168846644	89.3548938009648	40.6753870438411	75.0914016556925	4	5	4	5
Ifnk	IFNK	0.0701303881058063	0.0857717090944973	0	0	1	1	0	0
NULL	IFNL1	0	0	0	0	0	0	0	0
NULL	IFNL2	0	0	0	0	0	0	0	0
NULL	IFNL3	0	0	0	0.201418042273143	0	0	0	2
NULL	IFNL4	0	0	0	0	0	0	0	0
NULL	IFNLR1	0	0	0	0.429226525389646	0	0	0	2
NULL	IFNW1	0	0	0	0	0	0	0	0
Ifrd1	IFRD1	99.390076040261	107.219941850934	89.7117196637091	35.5305855965891	5	5	5	4
Ifrd2	IFRD2	130.027440700598	101.062527420783	117.513846655419	102.195180908247	5	5	5	5
Ift122	IFT122	1.43110501024167	2.0558262149073	1.91098863022841	1.83535853257931	3	3	3	3
Ift140	IFT140	7.43933761009908	23.09508179274	23.3044681385403	22.6394138015334	3	4	4	4
Ift172	IFT172	308.425522793936	171.817564382609	32.5870599211904	18.0813831317835	5	5	4	4
Ift20	IFT20	141.54974544695	132.71922537853	202.911953109552	170.116472285778	5	5	5	5
Ift27	IFT27	13.4838876207486	44.4601252059936	11.4552771691947	54.5764386254868	4	4	4	5
NULL	IFT43	0	0	0.9944879867013	1.25823684432903	0	0	3	3
Ift46	IFT46	22.8663126425745	29.5777345271935	57.2288096045951	52.0415783741874	4	4	5	5
Ift52	IFT52	71.3616158881644	58.3752453901641	42.566035611601	44.0072393447298	5	5	4	4
Ift57	IFT57	16.7529749824909	29.0379988778479	19.0144208152334	19.4974185038228	4	4	4	4
Ift74	IFT74	34.3711588721864	23.6882485468499	48.7832376329558	41.1360920240973	4	4	5	4
NULL	IFT80	0	0	0.406852097813835	0.380792314373032	0	0	2	2
Ift81	IFT81	7.47326007774382	6.41218674668128	12.0144061459676	8.49679204214095	3	3	4	4
Ift88	IFT88	7.74505286274619	10.2932681272017	13.9767964239024	6.77299122522576	3	4	4	3
NULL	IGBP1	0	0	1.72346568636573	2.08480798453989	0	0	3	3
NULL	IGBP1P1	0	0	3.81116828501669	4.42444267384067	0	0	3	3
Igdcc3	IGDCC3	0.00929035740725132	0.0986000222907795	0	0	1	1	0	0
Igdcc4	IGDCC4	0.262657541433593	0.276845938819191	0.276150872417125	0.41859694967139	2	2	2	2
Igf1	IGF1	0.161467861003758	0.326348920237644	0.275844165633063	0.22341937143023	2	2	2	2
Igf1r	IGF1R	8.26960987909772	0.537961978828342	3.11695419304169	2.03834387328334	3	2	3	3
Igf2	IGF2	0.0114170904328686	0.0363807244610765	0	0	1	1	0	0
NULL	IGF2-AS	0	0	0	0	0	0	0	0
Igf2bp1	IGF2BP1	0.628984419442579	0	1.73550937804492	0.0637298056323711	3	0	3	1
Igf2bp2	IGF2BP2	5.84887674655991	4.20914661734247	32.1840668086189	0.817105986187615	3	3	4	3
Igf2bp3	IGF2BP3	4.90543664683715	53.5396220224292	28.1710646675542	24.3670334475603	3	5	4	4
Igf2r	IGF2R	60.2984875654949	98.3851647557965	112.420565687875	63.8457515639077	5	5	5	5
Igfals	IGFALS	0.0317203540965106	1.42862067968197	0	0.784972765518322	1	3	0	3
Igfbp1	IGFBP1	0	0	0	0	0	0	0	0
Igfbp2	IGFBP2	0	223.005321658742	0.328659874678101	5.21784993054902	0	5	2	3
Igfbp3	IGFBP3	0	0	0	0.100481254985604	0	0	0	1
Igfbp4	IGFBP4	214.499678678033	1.08394514456957	37.5946023360973	6.52073605452264	5	3	4	3
Igfbp5	IGFBP5	0.026352023847592	0.076167641052459	0.135002225292075	0	1	1	1	0
Igfbp6	IGFBP6	1.55654576628644	0.200710587595625	1.91047923290439	0.41499235005711	3	2	3	2
Igfbp7	IGFBP7	0.0776024611054914	0.415523897499747	0.351293866132063	0	1	2	2	0
Igfbpl1	IGFBPL1	0	0.0371949358263424	0.0293334210091175	0	0	1	1	0
NULL	IGFL1	0	0	0	0	0	0	0	0
NULL	IGFL2	0	0	0.837889328888823	0	0	0	3	0
NULL	IGFL3	0	0	0	0	0	0	0	0
NULL	IGFL4	0	0	0	0.303498043413354	0	0	0	2
NULL	IGFLR1	0	0	1.17634119517886	3.48323704663732	0	0	3	3
Igfn1	IGFN1	0.165032430269178	0.0653350239632605	0.240029388429386	0	2	1	2	0
NULL	IGH	0	0	0	0	0	0	0	0
NULL	IGH@	0	0	0	0	0	0	0	0
NULL	IGHCgamma1	0	0	0	0	0	0	0	0
NULL	IGHD	0	0	0	0.659424586675433	0	0	0	3
NULL	IGHE	0	0	0.0744851997026634	0.41076570552463	0	0	1	2
NULL	IGHG1	0	0	0	1.01171105048497	0	0	0	3
Ighmbp2	IGHMBP2	11.3007624734496	11.4972940729221	57.6461676372562	55.2173701213174	4	4	5	5
NULL	IGHV 3-07	0	0	0	0	0	0	0	0
NULL	IGHV3-07	0	0	0	0	0	0	0	0
NULL	IGIP	0	0	0.141937161352183	0.205896294315722	0	0	2	2
Igj	IGJ	0.222685615758836	241.892267961899	0.924850925353005	180.99123921979	2	5	3	5
NULL	IGKV	0	0	0	0	0	0	0	0
NULL	IGKV1-12	0	0	0	0	0	0	0	0
NULL	IGKV3-11	0	0	0	0	0	0	0	0
NULL	IGL@	0	0	0	0	0	0	0	0
NULL	IGLL1	0	0	0	0	0	0	0	0
NULL	IGLL3P	0	0	0	0	0	0	0	0
NULL	IGLL5	0	0	0	0	0	0	0	0
Iglon5	IGLON5	0.0713885128007662	0.188289027761992	0.181147754209364	0.0620457185956645	1	2	2	1
Igsf1	IGSF1	0	0	0.146149702127761	0.02802275434536	0	0	2	1
Igsf10	IGSF10	0	0.0432839657640101	0.266152972618699	0.0346775231296934	0	1	2	1
Igsf11	IGSF11	0.0316732481194161	0.152578614047534	0.518954429991071	0	1	2	2	0
NULL	IGSF11-AS1	0	0	0.0363054137234202	0	0	0	1	0
Igsf21	IGSF21	0	0	0	0.180184183629722	0	0	0	2
NULL	IGSF22	0	0	0.0502594053806233	0.0556419175426594	0	0	1	1
NULL	IGSF23	0	0	0.388003915691025	0	0	0	2	0
Igsf3	IGSF3	0.46947478687922	4.87445080958926	3.66036990188097	0.798817188058507	2	3	3	3
Igsf5	IGSF5	0	0.798564312669498	0.34783066904626	0	0	3	2	0
Igsf6	IGSF6	0.296865703283568	0.134790828823736	0	1.49433173514918	2	2	0	3
Igsf8	IGSF8	31.1553409094554	15.0032370208186	27.9585293598046	33.7719430913266	4	4	4	4
Igsf9	IGSF9	0.357941813603648	4.21512521317464	1.12537200196378	0.501479223964905	2	3	3	2
Igsf9b	IGSF9B	0	4.31745820040234	0.221839105771705	1.14666194998798	0	3	2	3
NULL	IGVK-A2	0	0	0	0	0	0	0	0
Ihh	IHH	0.0480557349377376	0	0	0	1	0	0	0
Ik	IK	404.248365938556	338.667916532606	523.091144970301	350.853859417096	5	5	5	5
Ikbip	IKBIP	20.6560911881358	5.34835267949039	19.0903004495028	35.3118370718765	4	3	4	4
Ikbkap	IKBKAP	144.129120845891	186.262300403062	125.040365569672	97.0567555838615	5	5	5	5
Ikbkb	IKBKB	21.4063200525098	19.2260091861297	44.9353337976193	65.8048034524587	4	4	4	5
Ikbke	IKBKE	11.545700735671	38.3614490692339	13.3257223897546	27.6202356968948	4	4	4	4
Ikbkg	IKBKG	9.38213252088431	8.43562667492895	34.8612824725019	30.0911597640123	4	3	4	4
Ikzf1	IKZF1	587.946252422909	431.399279016238	279.867658506801	248.825609978375	5	5	5	5
Ikzf2	IKZF2	7.53250232149198	0	0.0468845596081171	4.81528048914551	3	0	1	3
Ikzf3	IKZF3	0.0740325613608454	154.51532489373	0.225873219900005	13.5014299551099	1	5	2	4
Ikzf4	IKZF4	0.487378619970606	4.74849480561152	2.19419835156531	0.816899161326444	2	3	3	3
Ikzf5	IKZF5	18.0674893475927	9.53267231425595	9.96516488949872	19.780298352741	4	4	4	4
Il10	IL10	0	76.0276423181657	0.4228588503326	6.5930862541274	0	5	2	3
Il10ra	IL10RA	0.403128256170615	20.2908671131603	1.82923036330619	5.09314176241406	2	4	3	3
NULL	IL10RB	0	0	3.01139015908368	4.01935100549196	0	0	3	3
NULL	IL10RB-AS1	0	0	0.329222424172538	1.35734881125912	0	0	2	3
Il11	IL11	0.213212994515568	0.139250334318864	0.155721498708181	0.1534307165819	2	2	2	2
NULL	IL11RA	0	0	0.201180230941442	0.332895835112391	0	0	2	2
Il12a	IL12A	0	3.88767832237221	0.125417480285491	1.44978045041742	0	3	1	3
Il12b	IL12B	0	0.215438054624996	0	0.210289936058631	0	2	0	2
Il12rb1	IL12RB1	1.68358458591961	8.18878328947739	1.05296747608768	31.0201550406423	3	3	3	4
Il12rb2	IL12RB2	4.91623238354881	2.91914116843501	1.73157584929966	5.32334492523645	3	3	3	3
Il13	IL13	0.0460548927112519	1.26577045799357	0	0.638619759001413	1	3	0	3
Il13ra1	IL13RA1	0.12603281192032	3.64251527844537	8.08525340953269	1.07892472979014	2	3	4	3
Il13ra2	IL13RA2	0.0687753399090288	0	0.115490850297136	0.0465723083455309	1	0	1	1
Il15	IL15	0	6.86604423276444	0.141185433502459	1.51984722597956	0	3	2	3
Il15ra	IL15RA	1.42972820030619	15.8076537178297	3.7469503940394	5.65856753712869	3	4	3	3
Il16	IL16	1.49253014569566	167.822820892125	9.31541538182545	33.3075094204448	3	5	4	4
Il17a	IL17A	0	0	0	0.0476778381332696	0	0	0	1
Il17b	IL17B	0	0	0.465579543619979	0.109053628373145	0	0	2	1
Il17c	IL17C	0.250467059584215	0.182108626922052	0	0	2	2	0	0
Il17d	IL17D	1.72046383176377	0.160515154545716	0.351075123222042	0.373694700947774	3	2	2	2
Il17f	IL17F	0.0512680118857265	0.176503666708316	0	0	1	2	0	0
Il17ra	IL17RA	32.6272970731529	24.7671589408153	12.8436381491228	15.8755467470589	4	4	4	4
Il17rb	IL17RB	0.597090372362521	14.6770992293808	1.90590304603112	5.90422434195366	2	4	3	3
Il17rc	IL17RC	6.55225298015091	0.559600838133461	4.1537974224887	0.501232193255203	3	2	3	2
Il17rd	IL17RD	0.0156131995428171	0.0700483557908193	0.0294124859358061	0.0422641307123364	1	1	1	1
Il17re	IL17RE	0.0860495983623919	0.174644263440579	0.227034365874867	0.101912057279113	1	2	2	1
NULL	IL17REL	0	0	0.0495168385888391	0.0315832612198869	0	0	1	1
Il18	IL18	0	5.24036426361515	2.13073979320722	0.292595251762555	0	3	3	2
Il18bp	IL18BP	12.0724972200565	20.1380980292183	9.64205766206174	17.7258843338626	4	4	4	4
Il18r1	IL18R1	5.5064236960874	1.73223155341034	0.946451774435418	3.15269250384435	3	3	3	3
Il18rap	IL18RAP	0	23.3333438147157	4.24685719046841	1.36779114037461	0	4	3	3
Il19	IL19	0	0.386383784822299	0	0.888298249732071	0	2	0	3
Il1a	IL1A	1.33398920207259	0.61892151828968	0.301187183185715	1.40445749715884	3	2	2	3
Il1b	IL1B	0.67812079445593	0.624855026244459	0.27243211035169	1.80213294945897	3	2	2	3
Il1f10	IL1F10	0	0	0	0	0	0	0	0
Il1r1	IL1R1	6.32127344947022	0.252115388239678	1.69933581888374	0.992623118445089	3	2	3	3
Il1r2	IL1R2	0.133245653007283	2.52768965909079	0.143579297264751	2.43836786609519	2	3	2	3
Il1rap	IL1RAP	4.83343604242457	5.83021622163613	10.4275306849878	4.37941382660026	3	3	4	3
Il1rapl1	IL1RAPL1	0	0	0.0570482852359837	0	0	0	1	0
Il1rapl2	IL1RAPL2	0	0	0	0.0283985764153292	0	0	0	1
Il1rl1	IL1RL1	12.6495526442945	0.0886550585443543	17.2936913512342	0	4	1	4	0
Il1rl2	IL1RL2	0.0645116494623637	0	0	0.0881278637188001	1	0	0	1
Il1rn	IL1RN	0	0.28151499267709	0.0659243052114282	0.129119553875337	0	2	1	1
Il2	IL2	0.344804752845045	0	0.186347597842875	0.223432840819276	2	0	2	2
Il20	IL20	0	0	0	0	0	0	0	0
Il20ra	IL20RA	0.0950746287918695	0	0	0.0633749256283879	2	0	0	1
